Date,Product_Category,Region,Units_Sold,Revenue,Cost,Profit,Marketing_Spend,Customer_Satisfaction,Month
2024-03-31,Furniture,South,97,31548.74,17139.04,14409.7,1780.22,85.92,3
2026-06-07,Office Supplies,South,110,4756.71,2897.17,1859.54,750.77,93.58,6
2020-09-13,Electronics,West,105,56797.81,32321.61,24476.199999999997,4306.68,83.13,9
2025-01-19,Food,West,101,2059.07,927.32,1131.75,3002.86,95.02,1
2019-04-07,Office Supplies,East,113,3763.15,2571.83,1191.3200000000002,4377.99,70.63,4
2023-08-20,Electronics,West,97,54951.39,38455.06,16496.33,4361.29,79.93,8
2024-01-28,Furniture,East,81,21527.91,16211.02,5316.889999999999,826.86,57.72,1
2025-08-17,Furniture,South,78,24456.82,13923.16,10533.66,2990.84,76.5,8
2020-01-05,Electronics,South,102,53849.73,38975.64,14874.090000000004,2954.14,72.44,1
2026-05-24,Furniture,North,97,28558.38,17908.75,10649.630000000001,4457.74,90.4,5
2025-07-06,Electronics,South,95,46670.47,28312.3,18358.170000000002,3966.49,53.37,7
2020-10-04,Office Supplies,West,107,4728.52,2585.28,2143.2400000000002,2479.77,53.88,10
2026-01-11,Office Supplies,South,99,4402.73,2507.54,1895.1899999999996,3124.72,61.31,1
2027-07-04,Electronics,East,112,50797.71,30748.08,20049.629999999997,3479.5,87.97,7
2027-09-19,Office Supplies,South,103,4087.75,2486.01,1601.7399999999998,2952.14,75.58,9
2027-03-14,Office Supplies,North,116,4848.23,2601.41,2246.8199999999997,813.74,88.1,3
2024-01-21,Office Supplies,South,85,3347.48,2216.5,1130.98,2403.44,68.95,1
2027-04-04,Clothing,East,87,4539.84,2956.18,1583.6600000000003,831.43,92.36,4
2019-09-01,Food,East,109,2446.42,1102.12,1344.3000000000002,3390.99,77.98,9
2022-12-11,Furniture,West,114,34295.59,23753.47,10542.119999999995,1266.6,54.97,12
2020-07-19,Clothing,South,107,4404.5,2744.24,1660.2600000000002,2043.09,57.35,7
2027-01-17,Office Supplies,East,97,3454.7,2416.27,1038.4299999999998,4131.87,68.52,1
2019-12-15,Electronics,North,91,43339.78,24566.8,18772.98,2273.7,99.74,12
2025-11-23,Office Supplies,West,86,3143.45,2170.42,973.0299999999997,2778.62,57.58,11
2026-06-07,Food,North,97,2450.79,794.86,1655.9299999999998,1219.79,62.35,6
2019-01-13,Office Supplies,South,110,4209.37,3030.48,1178.8899999999999,4642.73,85.45,1
2026-06-21,Electronics,South,91,45638.75,27639.11,17999.64,3228.9,61.75,6
2020-01-12,Food,South,103,2095.19,1159.8,935.3900000000001,1280.9,79.15,1
2021-01-10,Office Supplies,West,93,3525.85,2456.32,1069.5299999999997,3739.3,86.73,1
2023-12-24,Food,East,115,2058.84,1011.88,1046.96,4676.3,73.07,12
2024-12-08,Furniture,West,104,29035.13,21746.34,7288.790000000001,4509.97,85.54,12
2028-02-20,Furniture,North,112,39192.52,25898.67,13293.849999999999,2341.44,72.92,2
2022-08-28,Office Supplies,West,97,3616.73,2443.35,1173.38,3456.5,73.34,8
2026-09-13,Food,North,99,1983.72,1054.72,929.0,912.31,87.73,9
2023-03-05,Electronics,West,112,45221.05,38891.82,6329.230000000003,3036.75,76.12,3
2019-11-03,Office Supplies,East,95,3110.35,2834.89,275.46000000000004,3064.6,95.94,11
2022-02-06,Furniture,North,107,36474.18,19620.59,16853.59,4841.79,72.8,2
2022-11-13,Furniture,South,92,33424.58,16249.88,17174.700000000004,2908.42,90.33,11
2027-07-18,Office Supplies,South,106,4309.14,2647.95,1661.1900000000005,813.68,50.16,7
2028-04-09,Food,West,101,1740.3,1107.27,633.03,1597.54,65.59,4
2024-03-03,Furniture,South,114,37228.27,24599.23,12629.039999999997,5337.09,51.53,3
2025-09-21,Food,North,116,2338.33,1285.23,1053.1,3881.88,82.22,9
2024-10-27,Furniture,South,105,29835.92,23129.62,6706.299999999999,3988.67,76.43,10
2024-03-10,Furniture,East,113,33480.56,21794.37,11686.189999999999,3783.33,53.45,3
2027-09-26,Clothing,East,101,5285.7,3177.25,2108.45,4524.71,85.0,9
2027-11-07,Furniture,West,92,26985.78,16794.57,10191.21,3453.84,64.02,11
2023-02-12,Electronics,North,89,46592.93,25369.07,21223.86,2976.52,78.85,2
2023-10-29,Office Supplies,East,92,3416.54,2377.32,1039.2199999999998,3946.19,62.11,10
2022-08-21,Office Supplies,East,85,3003.56,2109.82,893.7399999999998,3141.17,83.34,8
2024-09-01,Food,North,90,1876.77,869.49,1007.28,2075.29,64.63,9
2023-01-29,Furniture,South,126,36026.15,23441.71,12584.440000000002,754.89,79.16,1
2022-12-25,Electronics,South,114,57981.09,44698.48,13282.609999999993,1694.88,51.68,12
2023-07-16,Food,West,110,2110.58,947.88,1162.6999999999998,4310.08,59.39,7
2025-06-22,Clothing,South,116,6193.21,3621.32,2571.89,2949.6,91.07,6
2026-01-11,Food,North,102,2458.64,1103.46,1355.1799999999998,2925.62,73.16,1
2020-01-05,Food,East,92,1698.87,824.86,874.0099999999999,1660.48,78.16,1
2024-05-12,Furniture,South,83,23168.28,19184.78,3983.5,1007.46,94.1,5
2026-11-08,Clothing,West,102,5383.67,3308.55,2075.12,1756.4,70.12,11
2023-02-26,Food,South,96,2055.71,1049.3,1006.4100000000001,3043.86,94.79,2
2023-10-29,Electronics,North,110,49681.12,47885.41,1795.7099999999991,2234.84,97.02,10
2022-08-07,Electronics,West,93,45712.06,33036.94,12675.119999999995,2829.46,93.33,8
2026-04-12,Office Supplies,South,98,4256.54,2487.09,1769.4499999999998,4648.56,71.12,4
2028-06-11,Clothing,West,97,5142.59,2860.64,2281.9500000000003,3431.99,55.8,6
2019-10-13,Clothing,North,108,5442.31,3060.22,2382.0900000000006,5060.63,92.21,10
2022-01-02,Office Supplies,East,89,3260.11,2316.33,943.7800000000002,1463.2,93.78,1
2019-04-14,Food,North,122,2298.5,1118.71,1179.79,1321.51,83.81,4
2024-10-06,Clothing,North,108,6610.21,3107.07,3503.14,5397.41,55.24,10
2020-03-29,Electronics,North,99,37495.19,34545.46,2949.730000000003,4352.23,73.8,3
2025-08-10,Electronics,North,82,42181.32,26306.89,15874.43,3254.18,50.14,8
2025-04-06,Furniture,East,98,28558.01,20241.74,8316.269999999997,2924.63,70.79,4
2019-03-03,Clothing,East,103,4721.95,3527.87,1194.08,4546.35,86.52,3
2025-08-03,Food,West,81,1806.21,856.42,949.7900000000001,3153.41,51.8,8
2021-06-20,Office Supplies,South,96,4098.39,2360.54,1737.8500000000004,1023.13,86.85,6
2028-06-04,Office Supplies,East,92,3553.62,2751.88,801.7399999999998,2857.79,54.27,6
2021-08-08,Food,East,88,1779.97,852.65,927.32,3700.31,89.1,8
2028-01-16,Furniture,South,121,32939.28,24445.28,8494.0,4351.4,62.09,1
2020-03-15,Office Supplies,East,112,4559.07,2823.05,1736.0199999999995,718.37,86.81,3
2021-08-29,Clothing,North,111,5915.76,3238.26,2677.5,1887.04,86.24,8
2028-07-23,Furniture,North,111,38001.55,20976.98,17024.570000000003,2827.32,63.36,7
2020-07-19,Clothing,South,91,4348.9,2638.25,1710.6499999999996,3964.95,78.77,7
2026-07-05,Electronics,West,116,56888.11,37792.03,19096.08,2499.57,59.09,7
2022-02-13,Furniture,West,98,23849.79,18178.74,5671.049999999999,1997.35,86.95,2
2027-01-10,Office Supplies,South,95,4038.91,2083.71,1955.1999999999998,2914.53,78.4,1
2024-07-14,Furniture,South,108,34314.91,25901.11,8413.800000000003,4813.18,83.78,7
2026-04-05,Furniture,North,113,38177.96,23006.16,15171.8,3647.26,64.56,4
2023-12-31,Furniture,West,102,29156.11,19589.04,9567.07,4638.5,85.51,12
2028-05-21,Furniture,East,101,30754.91,21484.17,9270.740000000002,2656.61,52.99,5
2023-06-04,Clothing,North,90,4882.09,3178.65,1703.44,4460.35,61.96,6
2019-10-13,Electronics,South,88,53356.32,32133.57,21222.75,2992.58,78.06,10
2019-07-14,Food,West,101,1884.49,1073.6,810.8900000000001,3802.98,80.99,7
2021-08-01,Furniture,East,109,28981.55,19752.1,9229.45,5360.01,76.36,8
2022-11-06,Office Supplies,East,90,4004.23,2366.45,1637.7800000000002,4286.95,66.87,11
2025-04-13,Furniture,North,103,31830.23,24194.73,7635.5,796.02,84.5,4
2024-02-18,Office Supplies,West,102,4263.44,2600.61,1662.8299999999995,2792.66,61.51,2
2027-01-03,Clothing,West,89,4405.17,2524.79,1880.38,1654.18,88.05,1
2019-08-18,Office Supplies,South,95,3973.14,2339.88,1633.2599999999998,4588.88,81.05,8
2019-12-01,Food,West,98,1703.72,998.78,704.94,2512.42,78.04,12
2026-10-18,Electronics,West,88,43746.52,34259.58,9486.939999999995,3994.79,83.72,10
2020-03-08,Office Supplies,North,105,3202.22,2782.04,420.17999999999984,3639.31,55.44,3
2023-02-19,Office Supplies,West,105,4187.64,3223.06,964.5800000000004,2446.53,97.65,2
2024-08-11,Electronics,East,107,45423.14,37903.7,7519.440000000002,2744.91,95.97,8
2020-11-22,Food,North,88,1671.0,829.61,841.39,491.6,50.71,11
2022-04-17,Furniture,North,102,32237.53,21949.15,10288.379999999997,2139.64,84.92,4
2025-11-23,Office Supplies,South,99,4168.29,2444.88,1723.4099999999999,4803.22,69.64,11
2023-02-05,Electronics,West,95,49436.37,35008.15,14428.220000000001,1800.25,61.6,2
2028-02-06,Clothing,South,120,6891.52,3520.59,3370.9300000000003,5784.91,88.18,2
2019-09-01,Electronics,East,101,52045.37,39078.25,12967.120000000003,4301.93,89.22,9
2027-08-08,Clothing,North,83,4521.25,1962.95,2558.3,3420.75,52.3,8
2023-05-07,Food,North,96,1825.93,1004.99,820.94,2703.43,90.41,5
2020-12-06,Furniture,North,106,29113.8,19465.66,9648.14,2451.19,94.73,12
2027-04-04,Electronics,East,123,61455.72,45697.7,15758.020000000004,3452.91,74.08,4
2027-11-07,Office Supplies,East,115,4263.71,2944.56,1319.15,743.8,52.89,11
2021-07-04,Food,South,103,1708.83,986.48,722.3499999999999,3398.15,99.62,7
2023-12-03,Electronics,South,94,52850.03,26595.81,26254.219999999998,2228.0,92.36,12
2019-02-03,Office Supplies,South,122,5117.74,3250.54,1867.1999999999998,1865.53,97.82,2
2023-03-05,Electronics,West,109,56905.75,34850.21,22055.54,1648.09,71.57,3
2023-11-19,Clothing,North,99,5193.44,3475.51,1717.9299999999994,2399.52,66.32,11
2026-08-16,Electronics,North,101,49582.03,35962.76,13619.269999999997,2459.82,95.19,8
2025-11-16,Electronics,South,109,52778.02,42358.44,10419.579999999994,4288.05,91.16,11
2024-06-02,Electronics,North,75,37921.93,28830.77,9091.16,1065.06,62.77,6
2026-07-12,Food,South,98,2106.24,820.75,1285.4899999999998,634.69,81.8,7
2022-12-18,Electronics,West,103,44260.36,32692.78,11567.580000000002,4591.47,73.0,12
2019-04-14,Office Supplies,West,99,3701.43,2775.31,926.1199999999999,4169.43,75.78,4
2025-08-17,Clothing,East,95,4462.87,2836.09,1626.7799999999997,1714.87,96.55,8
2019-10-20,Clothing,West,107,5859.87,2501.37,3358.5,3096.68,79.52,10
2026-04-12,Electronics,South,98,48149.69,32405.54,15744.150000000001,3679.0,60.03,4
2027-10-31,Food,West,89,1957.11,875.54,1081.57,652.86,59.56,10
2022-06-05,Food,East,104,2310.25,945.64,1364.6100000000001,3518.17,70.8,6
2020-03-15,Office Supplies,North,101,4278.81,2877.7,1401.1100000000006,4577.51,90.9,3
2025-09-28,Electronics,South,83,37956.15,26367.16,11588.990000000002,883.21,66.85,9
2023-06-04,Clothing,North,91,4870.94,2524.94,2345.9999999999995,2676.42,57.48,6
2023-08-13,Food,East,90,1567.8,738.05,829.75,3503.01,51.03,8
2019-12-29,Electronics,East,97,49146.3,28011.4,21134.9,1658.52,81.42,12
2020-11-01,Food,East,104,1613.94,1009.45,604.49,4962.3,81.61,11
2026-06-07,Food,North,108,2197.16,965.59,1231.5699999999997,4334.36,85.42,6
2023-04-02,Clothing,North,101,4441.09,2975.16,1465.9300000000003,1323.99,54.91,4
2028-04-16,Furniture,North,102,29760.21,20849.58,8910.629999999997,1084.32,92.52,4
2026-10-18,Office Supplies,North,97,3800.49,2408.54,1391.9499999999998,711.52,57.11,10
2023-06-04,Office Supplies,East,103,4384.43,2288.18,2096.2500000000005,1244.21,55.94,6
2023-07-16,Clothing,East,93,4992.88,3108.38,1884.5,2286.83,77.47,7
2021-09-26,Food,South,97,1904.52,779.39,1125.13,2696.63,69.36,9
2022-04-10,Electronics,South,111,53284.71,40014.92,13269.79,4538.75,80.8,4
2019-07-21,Food,North,109,2191.75,1408.65,783.0999999999999,4008.88,76.71,7
2019-09-08,Clothing,West,103,3948.59,3507.07,441.52,1946.45,74.11,9
2019-03-31,Office Supplies,West,96,4001.49,2327.29,1674.1999999999998,3973.97,83.86,3
2022-01-23,Food,East,97,1651.1,1068.45,582.6499999999999,4048.63,75.08,1
2025-04-06,Office Supplies,East,98,3839.58,2334.75,1504.83,4614.66,92.53,4
2022-07-31,Electronics,East,97,48631.21,34295.82,14335.39,1565.38,58.14,7
2023-08-27,Office Supplies,South,102,3579.43,2439.17,1140.2599999999998,2399.5,96.75,8
2020-08-23,Office Supplies,South,84,3699.05,2061.06,1637.9900000000002,2708.81,62.36,8
2024-06-09,Furniture,East,94,26300.38,18361.27,7939.110000000001,1880.55,83.88,6
2020-04-05,Furniture,East,112,34153.54,22309.24,11844.3,4515.7,86.67,4
2022-04-03,Furniture,East,103,31715.26,19857.63,11857.629999999997,4154.72,80.06,4
2019-11-10,Office Supplies,West,97,3869.41,2360.19,1509.2199999999998,4750.06,55.16,11
2020-03-08,Clothing,South,92,4778.56,2770.69,2007.8700000000003,2759.75,59.49,3
2027-06-13,Office Supplies,West,98,3392.07,2541.75,850.3200000000002,2781.9,53.7,6
2021-07-25,Clothing,West,98,5091.39,3661.45,1429.9400000000005,3754.11,81.54,7
2024-06-09,Clothing,East,88,5223.57,2769.16,2454.41,1010.01,79.77,6
2019-07-14,Furniture,East,102,30243.11,18924.9,11318.21,3703.71,72.9,7
2021-01-24,Food,North,92,1861.09,839.42,1021.67,3116.36,85.19,1
2019-11-03,Electronics,North,96,52836.74,26859.4,25977.339999999997,2426.97,83.6,11
2025-07-06,Furniture,West,96,31040.51,24045.7,6994.809999999998,1557.95,50.1,7
2024-06-23,Furniture,South,109,39747.94,19668.91,20079.030000000002,1590.18,96.95,6
2027-07-18,Food,East,98,1676.87,1120.17,556.6999999999998,712.66,81.37,7
2025-05-04,Electronics,East,102,54168.21,35118.52,19049.690000000002,2997.73,96.98,5
2021-06-13,Office Supplies,West,86,3688.5,1957.68,1730.82,2818.75,86.97,6
2025-08-31,Office Supplies,North,78,3321.64,1732.05,1589.59,2138.12,87.14,8
2028-01-23,Furniture,South,91,29287.57,17612.46,11675.11,800.21,90.36,1
2023-06-04,Electronics,North,84,43095.73,30273.55,12822.180000000004,2358.11,71.92,6
2022-08-21,Furniture,North,102,36613.94,21501.15,15112.79,3726.98,60.2,8
2023-04-23,Clothing,North,97,5363.85,3059.13,2304.7200000000003,703.33,95.58,4
2026-05-17,Furniture,North,106,31564.28,20686.64,10877.64,605.43,53.86,5
2026-03-22,Furniture,East,95,27798.02,20325.78,7472.240000000002,2290.9,60.77,3
2024-06-02,Office Supplies,East,102,4731.01,2966.72,1764.2900000000004,2218.4,66.65,6
2027-07-18,Office Supplies,North,101,3930.67,2750.38,1180.29,2747.96,64.17,7
2021-04-25,Office Supplies,South,101,3848.43,2859.81,988.6199999999999,2839.36,62.67,4
2021-03-21,Clothing,West,87,4178.78,2993.62,1185.1599999999999,1242.34,89.99,3
2027-10-31,Office Supplies,South,120,5209.63,2883.35,2326.28,5542.39,92.99,10
2023-06-18,Electronics,South,89,48947.02,30411.51,18535.51,3000.01,91.68,6
2023-12-17,Food,South,107,2837.75,1064.34,1773.41,1230.23,89.2,12
2025-11-16,Electronics,North,92,46012.35,23500.09,22512.26,3710.3,79.94,11
2022-10-16,Electronics,East,108,56141.8,32833.6,23308.200000000004,2521.1,73.48,10
2027-09-26,Office Supplies,South,103,4523.32,2315.82,2207.4999999999995,568.27,70.44,9
2026-11-15,Food,North,111,2550.28,1119.47,1430.8100000000002,5262.94,87.34,11
2021-08-15,Food,South,102,2205.01,1075.74,1129.2700000000002,2558.06,90.29,8
2025-02-02,Food,South,88,2089.05,705.26,1383.7900000000002,1449.33,87.13,2
2022-02-27,Clothing,North,94,4468.41,2980.57,1487.8399999999997,3893.44,89.32,2
2023-04-23,Office Supplies,East,84,2894.25,2404.3,489.9499999999998,1446.27,61.59,4
2024-11-17,Food,East,85,1808.44,825.63,982.8100000000001,721.98,91.44,11
2023-06-25,Clothing,West,98,5051.05,2305.96,2745.09,3993.68,94.22,6
2022-04-17,Furniture,North,114,32456.28,18071.11,14385.169999999998,2696.47,50.66,4
2021-11-28,Furniture,West,113,32655.09,18450.25,14204.84,2655.41,86.1,11
2027-11-14,Clothing,West,94,4595.56,2140.53,2455.03,2287.24,87.03,11
2025-01-12,Clothing,West,95,4796.77,3169.41,1627.3600000000006,3849.82,64.84,1
2026-03-01,Office Supplies,East,103,3270.73,2716.88,553.8499999999999,2434.82,86.62,3
2022-01-23,Office Supplies,North,96,4269.65,2840.14,1429.5099999999998,991.55,60.59,1
2020-11-01,Furniture,West,103,28124.27,19549.96,8574.310000000001,1644.69,63.38,11
2028-01-16,Food,North,98,2194.97,902.59,1292.3799999999997,3012.13,99.31,1
2023-06-18,Furniture,North,102,35184.17,19373.56,15810.609999999997,4510.04,83.95,6
2022-06-12,Food,East,104,2389.87,986.15,1403.7199999999998,1473.16,66.38,6
2021-02-28,Food,West,100,2447.26,1138.45,1308.8100000000002,599.64,97.26,2
2025-02-02,Office Supplies,West,117,4660.25,3489.95,1170.3000000000002,5497.91,71.95,2
2028-07-09,Electronics,North,85,42543.23,30933.47,11609.760000000002,862.14,88.24,7
2027-06-20,Electronics,South,101,56017.12,37880.89,18136.230000000003,4829.3,88.82,6
2019-12-29,Clothing,East,99,5458.71,3065.11,2393.6,3494.31,70.41,12
2024-02-18,Office Supplies,East,101,3933.93,2616.93,1317.0,3753.04,94.08,2
2024-08-25,Food,East,106,2314.07,1173.78,1140.2900000000002,4120.08,73.25,8
2026-05-24,Electronics,East,111,54018.69,40158.27,13860.420000000006,1191.3,64.28,5
2026-05-31,Food,West,115,2540.16,1509.02,1031.1399999999999,4821.6,70.23,5
2021-02-28,Electronics,West,124,59979.35,43354.5,16624.85,2906.34,82.39,2
2020-12-06,Electronics,South,96,41576.84,33307.01,8269.829999999994,3690.11,92.4,12
2021-02-28,Electronics,East,99,51285.36,34768.27,16517.090000000004,2501.88,75.67,2
2027-06-06,Office Supplies,East,89,3292.71,2204.17,1088.54,3365.59,80.42,6
2020-07-19,Furniture,North,101,27618.15,23143.3,4474.850000000002,2184.3,52.27,7
2022-07-31,Food,West,118,2497.22,1156.02,1341.1999999999998,2603.69,91.57,7
2021-02-28,Office Supplies,East,102,3921.07,2818.25,1102.8200000000002,3410.83,54.77,2
2019-01-13,Office Supplies,South,107,3569.31,3161.75,407.55999999999995,3173.78,76.05,1
2021-06-27,Office Supplies,South,101,4580.7,2239.76,2340.9399999999996,3952.39,50.73,6
2023-03-19,Office Supplies,West,112,4779.56,2542.96,2236.6000000000004,2508.57,83.12,3
2020-01-12,Office Supplies,South,90,3186.3,1887.79,1298.5100000000002,1092.65,62.91,1
2025-07-27,Clothing,South,109,4762.4,3920.67,841.7299999999996,4342.95,92.63,7
2028-04-16,Food,West,117,2711.86,1199.98,1511.88,2200.85,70.75,4
2023-04-16,Office Supplies,East,83,3052.72,2387.37,665.3499999999999,2613.07,59.27,4
2023-04-23,Food,East,96,2118.51,987.39,1131.1200000000003,4232.52,86.22,4
2026-05-17,Clothing,South,86,4463.09,2995.14,1467.9500000000003,2692.67,56.68,5
2026-09-20,Clothing,South,104,4254.51,2472.99,1781.5200000000004,5005.77,71.55,9
2021-05-30,Food,East,103,2395.92,1279.24,1116.68,3466.39,87.41,5
2021-06-27,Electronics,West,104,52831.82,30826.33,22005.489999999998,4385.29,73.16,6
2020-01-05,Furniture,South,96,31387.05,16730.24,14656.809999999998,4038.68,53.16,1
2022-04-17,Electronics,North,108,57315.74,39797.32,17518.42,2783.0,99.17,4
2023-03-05,Electronics,West,92,49061.69,34445.35,14616.340000000004,3556.05,57.53,3
2022-01-23,Electronics,South,107,52486.74,31880.31,20606.429999999997,1806.18,70.76,1
2022-10-16,Office Supplies,South,105,4611.64,2718.42,1893.2200000000003,4228.32,71.45,10
2026-12-20,Clothing,North,108,5436.72,2776.28,2660.44,4118.07,71.82,12
2023-09-24,Electronics,North,98,45719.57,35244.01,10475.559999999998,3788.7,90.64,9
2025-03-16,Clothing,East,92,5726.75,2435.34,3291.41,1718.69,65.91,3
2027-05-30,Food,West,99,1921.41,1098.84,822.5700000000002,556.03,54.01,5
2022-11-20,Furniture,West,89,23945.27,19781.78,4163.490000000002,976.24,75.58,11
2022-07-10,Food,East,91,1501.25,770.99,730.26,2054.48,53.47,7
2021-05-09,Food,West,104,2359.98,1123.11,1236.8700000000001,3684.27,56.92,5
2026-09-06,Office Supplies,West,104,4847.04,3087.22,1759.8200000000002,4584.16,68.96,9
2023-11-19,Furniture,West,88,30069.48,14947.55,15121.93,2946.97,73.46,11
2024-08-18,Food,West,103,1997.99,728.32,1269.67,4505.94,73.06,8
2024-05-12,Food,West,98,1961.28,1050.11,911.1700000000001,4675.98,91.64,5
2025-03-23,Furniture,North,107,35111.69,20640.43,14471.260000000002,1064.95,96.25,3
2026-02-15,Furniture,West,95,27019.73,19291.54,7728.189999999999,3229.2,98.71,2
2020-11-15,Food,North,103,2079.6,952.9,1126.6999999999998,3981.03,90.51,11
2022-10-16,Furniture,West,116,30150.69,22297.14,7853.549999999999,801.03,78.99,10
2028-01-02,Food,East,93,1978.55,923.78,1054.77,718.63,84.27,1
2026-07-26,Food,South,103,1649.4,818.81,830.5900000000001,3693.22,95.51,7
2023-08-06,Office Supplies,North,96,4008.45,2432.27,1576.1799999999998,4288.58,79.22,8
2021-10-03,Electronics,West,103,53789.79,39802.48,13987.309999999998,879.12,87.03,10
2020-11-08,Food,East,111,2263.11,1017.18,1245.9300000000003,4064.69,53.33,11
